Bereich;Kategorie;Entgeltschluessel;Geb.Nr.;Minuten;Verguetung_EUR;Leistungsbeschreibung
Erwachsenenpsychiatrie;Leistungen von Psychologen und Psychotherapeuten;35210254;254;90;18,50;Leistungen von Psychologen bis 90 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Psychologen und Psychotherapeuten;35210255;255;120;24,66;Leistungen von Psychologen bis 120 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Psychologen und Psychotherapeuten;35210260;260;10;14,39;Fahrtzeit dazu bis 10 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen und Psychotherapeuten;35210261;261;20;28,78;Fahrtzeit dazu bis 20 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen und Psychotherapeuten;35210262;262;40;57,56;Fahrtzeit dazu bis 40 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen und Psychotherapeuten;35210263;263;60;86,34;Fahrtzeit dazu bis 60 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen und Psychotherapeuten;35210264;264;90;129,47;Fahrtzeit dazu bis 90 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210310;310;10;9,32;Leistungen von Pflegepersonal bis 10 Minuten für Leistungen der sozialpsychiatrischen Grundversorgung, Krisenintervention einschl. Notfallbehandlung, spezifische Einzelbehandlung/Betreuung
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210311;311;20;18,63;Leistungen von Pflegepersonal bis 20 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210312;312;40;37,22;Leistungen von Pflegepersonal bis 40 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210313;313;60;55,86;Leistungen von Pflegepersonal bis 60 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210314;314;90;83,77;Leistungen von Pflegepersonal bis 90 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210315;315;120;111,66;Leistungen von Pflegepersonal bis 120 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210316;316;180;167,49;Leistungen von Pflegepersonal bis 180 Minuten wie oben (nur mit entsprechender Begründung sind längere Zeiten abrechenbar); die Abrechnung längerer Behandlungszeiten erfolgt mittels Geb.Nr. 310 – nur in Verbindung mit Geb.Nr. 316 ist eine Mehrfachabrechnung der Geb.Nr. 310 möglich
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210343;343;60;15,98;Leistungen von Pflegepersonal bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Kleingruppe (bis zu fünf Patienten)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210344;344;90;23,95;Leistungen von Pflegepersonal bis 90 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210345;345;120;31,88;Leistungen von Pflegepersonal bis 120 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210346;346;180;47,86;Leistungen von Pflegepersonal bis 180 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210353;353;60;7,99;Leistungen von Pflegepersonal bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Großgruppe (mehr als fünf Patienten, höchstens 12 Patienten)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210354;354;90;11,99;Leistungen von Pflegepersonal bis 90 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210355;355;120;15,98;Leistungen von Pflegepersonal bis 120 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210356;356;180;23,96;Leistungen von Pflegepersonal bis 180 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210360;360;10;9,32;Fahrtzeit dazu bis 10 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210361;361;20;18,63;Fahrtzeit dazu bis 20 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210362;362;40;37,22;Fahrtzeit dazu bis 40 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210363;363;60;55,86;Fahrtzeit dazu bis 60 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210364;364;90;83,77;Fahrtzeit dazu bis 90 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210365;365;120;111,66;Fahrtzeit dazu bis 120 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210366;366;180;167,49;Fahrtzeit dazu bis 180 Minuten
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210410;410;10;11,91;Leistungen von Sozialpädagogen bis 10 Minuten für Leistungen der sozialpsychiatrischen Grundversorgung, Krisenintervention einschl. Notfallbehandlung, spezifische Einzelbehandlung/Betreuung
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210411;411;20;23,90;Leistungen von Sozialpädagogen bis 20 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210412;412;40;47,74;Leistungen von Sozialpädagogen bis 40 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210413;413;60;71,61;Leistungen von Sozialpädagogen bis 60 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210414;414;90;107,43;Leistungen von Sozialpädagogen bis 90 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210415;415;120;143,20;Leistungen von Sozialpädagogen bis 120 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210416;416;180;214,80;Leistungen von Sozialpädagogen bis 180 Minuten wie oben (nur mit entsprechender Begründung sind längere Zeiten abrechenbar); die Abrechnung längerer Behandlungszeiten erfolgt mittels Geb.Nr. 410 – nur in Verbindung mit Geb.Nr. 416 ist eine Mehrfachabrechnung der Geb.Nr. 410 möglich
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210443;443;60;20,46;Leistungen von Sozialpädagogen bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Kleingruppe (bis zu fünf Patienten)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210444;444;90;30,65;Leistungen von Sozialpädagogen bis 90 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210445;445;120;40,92;Leistungen von Sozialpädagogen bis 120 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210446;446;180;61,38;Leistungen von Sozialpädagogen bis 180 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210453;453;60;10,20;Leistungen von Sozialpädagogen bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Großgruppe (mehr als fünf Patienten, höchstens 12 Patienten)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210454;454;90;15,38;Leistungen von Sozialpädagogen bis 90 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210455;455;120;20,46;Leistungen von Sozialpädagogen bis 120 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210456;456;180;30,65;Leistungen von Sozialpädagogen bis 180 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210460;460;10;11,91;Fahrtzeit dazu bis 10 Minuten
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210461;461;20;23,90;Fahrtzeit dazu bis 20 Minuten
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210462;462;40;47,74;Fahrtzeit dazu bis 40 Minuten
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210463;463;60;71,61;Fahrtzeit dazu bis 60 Minuten
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210464;464;90;107,43;Fahrtzeit dazu bis 90 Minuten
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210465;465;120;143,20;Fahrtzeit dazu bis 120 Minuten
Erwachsenenpsychiatrie;Leistungen v. Sozialpädagogen;35210466;466;180;214,80;Fahrtzeit dazu bis 180 Minuten
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210511;511;20;20,52;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 20 Minuten für Leistungen der sozialpsychiatrischen Grundversorgung, spezifische Einzelbehandlung/Betreuung
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210512;512;40;41,09;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 40 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210513;513;60;61,59;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 60 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210514;514;90;92,41;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 90 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210515;515;120;123,21;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 120 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210516;516;180;184,76;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 180 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210543;543;60;17,54;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Kleingruppe (bis zu fünf Patienten)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210544;544;90;26,37;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 90 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210545;545;120;35,19;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 120 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210546;546;180;52,80;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 180 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210553;553;60;8,79;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Großgruppe (mehr als fünf Patienten, höchstens 12 Patienten)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210554;554;90;13,22;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 90 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210555;555;120;17,54;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 120 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210556;556;180;26,38;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 180 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210557;557;240;35,19;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 240 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210558;558;300;44,04;Leistungen von Arbeits- und Beschäftigungstherapeuten bis 300 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210561;561;20;20,52;Fahrtzeit dazu bis 20 Minuten
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210562;562;40;41,09;Fahrtzeit dazu bis 40 Minuten
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210563;563;60;61,59;Fahrtzeit dazu bis 60 Minuten
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210564;564;90;92,41;Fahrtzeit dazu bis 90 Minuten
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210565;565;120;123,21;Fahrtzeit dazu bis 120 Minuten
Erwachsenenpsychiatrie;Leistungen von Arbeits- und Beschäftigungstherapeuten;35210566;566;180;184,76;Fahrtzeit dazu bis 180 Minuten
Erwachsenenpsychiatrie;Fallbesprechung;35210600;600;10;61,98;Fallbesprechung mindestens 10 Minuten multiprofessionelle Fallbesprechung durch Standardgruppe (Arzt, Psychologe, Pflegekraft, Sozialpädagoge, sonstiger nichtärztlicher Therapeut) je Patient max. 2 mal im Quartal. Mind. 3 Mitarbeiter mind. zweier unterschiedlicher Berufsgruppen müssen anwesend sein. Daneben ist die Gebührennummer 609 nicht abrechenbar
Erwachsenenpsychiatrie;Fallbesprechung;35210609;609;20;124,04;Fallbesprechung mindestens 20 Minuten multiprofessionelle Fallbesprechung durch Standardgruppe (Arzt, Psychologe, Pflegekraft, Sozialpädagoge, sonstiger nichtärztlicher Therapeut) je Patient 1x im Quartal. Mind. 4 Mitarbeiter mind. dreier unterschiedlicher Berufsgruppen müssen anwesend sein
Erwachsenenpsychiatrie;Personalaufwand bei apparativer Diagnostik und Therapie;35210770;770;10;9,32;Personalaufwand bei apparativer Diagnostik und Therapie bis 10 Minuten (z.B. TMS, rTMS, neuropsychologische Untersuchungen, Lichttherapie); unabhängig von betreuter Berufsgruppe (Pflegekraft, MFA, MTA); ggf. mehrfach pro Quartal zusätzlich zu den Geb.-Nr. 17x abrechenbar
Erwachsenenpsychiatrie;Personalaufwand bei apparativer Diagnostik und Therapie;35210771;771;20;18,63;Personalaufwand bei apparativer Diagnostik und Therapie bis 20 Minuten (z.B. EKG, TMS, rTMS, neuropsychologische Untersuchungen, Lichttherapie); unabhängig von betreuter Berufsgruppe (Pflegekraft, MFA, MTA); ggf. mehrfach pro Quartal zusätzlich zu den Geb.-Nr. 17x abrechenbar
Erwachsenenpsychiatrie;Personalaufwand bei apparativer Diagnostik und Therapie;35210772;772;40;37,22;Personalaufwand bei apparativer Diagnostik und Therapie bis 40 Minuten (z.B. TMS, rTMS, neuropsychologische Untersuchungen, Lichttherapie); unabhängig von betreuter Berufsgruppe (Pflegekraft, MFA, MTA); ggf. mehrfach pro Quartal zusätzlich zu den Geb.-Nr. 17x abrechenbar
Erwachsenenpsychiatrie;Personalaufwand bei apparativer Diagnostik und Therapie;35210773;773;60;55,86;Personalaufwand bei apparativer Diagnostik und Therapie bis 60 Minuten (z.B. EEG, TMS, rTMS, neuropsychologische Untersuchungen, Lichttherapie); unabhängig von betreuter Berufsgruppe (Pflegekraft, MFA, MTA); ggf. mehrfach pro Quartal zusätzlich zu den Geb.-Nr. 17x abrechenbar
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220100;0100;;9,32;Qualifizierte Arzneimittelverordnung ohne ärztlichen Patientenkontakt (Abrechnungsregeln: am Tag einer ärztlichen Leistungserbringung oder am Folgetag nicht abrechenbar; ohne weitere ärztliche Leistungserbringung im Quartal nicht an zwei aufeinanderfolgenden Quartalen abrechenbar; nur abrechenbar bei Erfüllung der Dokumentationsanforderungen gemäß Anlage 4 Punkt 2.1.12)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220110;0110;10;16,07;Zeitdauer bis 10 Minuten für Leistungen der sozialpsychiatrischen Grundversorgung, Krisenintervention einschl. amb. Notfallbehandlung, spezifische Einzelbehandlung/Betreuung, Psychodiagnostik, ohne Videosprechstunde
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220111;0111;20;32,22;Zeitdauer bis 20 Minuten wie oben
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220112;0112;40;64,45;Zeitdauer bis 40 Minuten wie oben
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220113;0113;60;96,66;Zeitdauer bis 60 Minuten wie oben
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220114;0114;90;144,99;Zeitdauer bis 90 Minuten wie oben
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220115;0115;120;192,88;Zeitdauer bis 120 Minuten kinder- und jugendpsychiatrische Abklärung, spezifische Diagnostik, ambulante Notfallbehandlung und Krisenintervention, Einzeltherapie, ohne Videosprechstunde
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220116;0116;180;289,32;Zeitdauer bis 180 Minuten kinder- und jugendpsychiatrische Abklärung, spezifische Diagnostik, ambulante Notfallbehandlung und Krisenintervention, Einzeltherapie, ohne Videosprechstunde
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220117;0117;240;385,76;Zeitdauer bis 240 Minuten kinder- und jugendpsychiatrische Abklärung, spezifische Diagnostik, ambulante Notfallbehandlung und Krisenintervention, Einzeltherapie, ohne Videosprechstunde (Abrechnung nur 1 mal im Krankheitsfall möglich)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220122;0122;40;18,41;Zeitdauer bis 40 Minuten spezifische Behandlung in der Kleingruppe (bis zu 3 Patienten)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220123;0123;60;27,62;Zeitdauer bis 60 Minuten wie oben (Kleingruppe)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220124;0124;90;41,41;Zeitdauer bis 90 Minuten wie oben (Kleingruppe)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220125;0125;120;55,26;Zeitdauer bis 120 Minuten wie oben (Kleingruppe), (nur mit entsprechender Begründung sind längere Zeiten abrechenbar)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220132;0132;40;9,19;Zeitdauer bis 40 Minuten spezifische Behandlung in der Großgruppe (mind. 4, max. 8 Patienten)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220133;0133;60;13,79;Zeitdauer bis 60 Minuten wie oben (Großgruppe)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220134;0134;90;20,70;Zeitdauer bis 90 Minuten wie oben (Großgruppe)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220135;0135;120;27,62;Zeitdauer bis 120 Minuten wie oben (Großgruppe), (nur mit entsprechender Begründung sind längere Zeiten abrechenbar)
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220150;0150;10;16,07;bis 10 Minuten für Leistungen im Rahmen einer Videosprechstunde
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220151;0151;20;32,22;bis 20 Minuten für Leistungen im Rahmen einer Videosprechstunde
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220152;0152;40;64,45;bis 40 Minuten für Leistungen im Rahmen einer Videosprechstunde
Kinder- und Jugendpsychiatrie;Ärztliche Leistungen;35220153;0153;60;96,66;bis 60 Minuten für Leistungen im Rahmen einer Videosprechstunde
